transaction_id,transaction_ts,store_code,store_name,region,product_sku,product_name,category,subcategory,customer_id,customer_segment,payment_type,qty,unit_price,discount_pct,promo_flag,extended_amount,unit_cost,profit
TXN00120450,2024-08-05 11:25:23,S027,Des Moines Market,Midwest,P000420,Ultra Kitchen Black 25,Home & Garden,Kitchen,C014434,Corporate,Credit,2,173.79,0.0418,0,333.05,94.12,144.81
TXN00098056,2023-06-07 12:31:21,S018,Indianapolis Outlet,Midwest,P001013,Active Action Navy 24,Toys & Games,Action Figures,C007994,Consumer,Credit,3,52.07,0.2632,1,115.1,21.06,51.92
TXN00198905,2023-09-11 07:29:57,S048,Boston Outlet,Northeast,P000308,Active Footwear Gray 12,Apparel,Footwear,C014081,Corporate,Credit,1,132.23,,1,118.84,67.32,51.52
TXN00113369,2023-05-03 11:19:05,S031,Houston Retail Center,South,P000039,Smart Laptops Brown 40,Electronics,Laptops,C023162,Home Office,Gift Card,3,830.06,0.1052,1,2228.21,487.26,766.43
TXN00015502,2024-02-11 08:19:24,S057,Bridgeport Market,Northeast,P000787,Pro Bakery Green 95,Grocery,Bakery,C016273,Consumer,Credit,1,13.56,0.0,0,13.56,8.52,5.04
TXN00180180,2023-05-30 11:03:54,S003,Seattle Market,West,P000063,Premium Tablets Black 64,Electronics,Tablets,C022772,Corporate,Cash,3,707.0,0.0,0,2121.0,396.62,931.14
TXN00111014,2024-12-15 10:19:30,S051,Hartford Market,Northeast,P000103,Classic Accessories Brown 5,Electronics,Accessories,C015571,Consumer,Debit,2,41.1,0.0,0,82.2,22.89,36.42
TXN00208705,2024-08-17 12:41:42,S012,Oakland Outlet,West,P000136,Premium Audio Silver 38,Electronics,Audio,C004881,Consumer,Apple Pay,2,166.27,0.0,0,332.54,95.36,141.82
TXN00138105,2023-01-19 10:32:46,S004,Portland Depot,West,P000341,Classic Sportswear Blue 45,Apparel,Sportswear,C005823,Consumer,Credit,3,95.09,0.0155,0,280.85,34.84,176.33
TXN00155477,2024-11-24 09:16:13,S033,Miami Market,South,P000101,Pro Accessories Black 3,Electronics,Accessories,C016906,Consumer,Debit,4,70.89,0.0,0,283.56,38.42,129.88
TXN00060728,2023-07-06 09:47:31,S021,Kansas City Market,Midwest,P000458,Select Kitchen Green 63,Home & Garden,Kitchen,C003594,Consumer,Debit,3,176.74,0.0,0,530.22,97.58,237.48
TXN00175430,2024-07-05 12:33:13,S044,Richmond Superstore,South,P000824,Smart Skincare Brown 33,Health & Beauty,Skincare,C023767,Consumer,Credit,3,114.66,0.0,0,343.98,62.14,157.56
TXN00024992,2024-11-08 12:50:18,S056,Worcester Superstore,Northeast,P000273,Express Women's Brown 76,Apparel,Women's Clothing,C011825,Consumer,Credit,3,45.17,0.0,0,135.51,18.56,79.83
TXN00121662,2023-05-07 08:23:02,S060,Yonkers Outlet,Northeast,P000506,Premium Tools Beige 12,Home & Garden,Tools,C020820,Corporate,Debit,2,255.49,0.1921,0,412.82,126.6,159.62
TXN00042898,2024-10-07 10:55:24,S052,Buffalo Depot,Northeast,P000410,Active Furniture Beige 15,Home & Garden,Furniture,C024106,Consumer,Debit,4,1005.22,0.0741,1,3722.93,588.86,1367.49
TXN00065708,2024-05-29 21:42:10,S017,Columbus Plaza Store,Midwest,P000297,Signature Footwear Red 1,Apparel,Footwear,C003885,Consumer,Credit,3,65.42,0.0,0,196.26,23.92,124.5
TXN00024630,01/21/2024 9:20 AM,S054,Newark Outlet,Northeast,P000479,Express Bedding Gray 84,Home & Garden,Bedding,C009966,Consumer,Cash,1,188.6,0.0,0,188.6,87.14,101.46
TXN00038490,03/07/2024 6:34 PM,S018,Indianapolis Outlet,Midwest,P000325,Standard Footwear Beige 29,Apparel,Footwear,C014158,Corporate,Credit,1,76.03,0.0,0,76.03,32.08,43.95
TXN00043701,2024-05-05 12:42:56,S058,Allentown Depot,Northeast,P000366,Select Sportswear Silver 70,Apparel,Sportswear,C001896,Consumer,Debit,4,83.0,0.0056,0,330.14,29.63,211.62
TXN00081628,2024-09-18 11:56:59,S034,Dallas Depot,South,P000699,Standard Dairy Blue 7,Grocery,Dairy,C009756,Corporate,Cash,3,3.17,,0,8.63,2.05,2.48
TXN00103297,2023-05-26 16:29:37,S009,Boise Market,West,P000925,Smart Fitness White 35,Sports,Fitness Equipment,C008034,Corporate,Credit,1,615.51,,0,615.51,314.4,301.11
TXN00120292,2024-01-25 16:59:14,S041,Memphis Plaza Store,South,P001154,Essential Maintenance Silver 66,Automotive,Maintenance,C009709,Consumer,Debit,2,53.55,0.0565,0,101.05,29.93,41.19
TXN00006125,2024-02-02 14:04:23,S035,Charlotte Plaza Store,South,P000039,Smart Laptops Brown 40,Electronics,Laptops,C015392,Home Office,Debit,3,830.06,0.0551,0,2352.97,487.26,891.19
TXN00205284,07/01/2023 1:16 PM,S054,Newark Outlet,Northeast,P001024,Elite Action Blue 35,Toys & Games,Action Figures,C017989,Consumer,Debit,1,21.99,0.0,0,21.99,11.39,10.6
TXN00014439,2024-03-15 15:36:45,S054,Newark Outlet,Northeast,P000935,Ultra Outdoor White 45,Sports,Outdoor Recreation,C010555,Home Office,Debit,4,457.42,0.0,0,1829.68,259.83,790.36
TXN00112759,2024-06-30 19:57:13,S003,Seattle Market,West,P000179,Active Men's Gray 81,Apparel,Men's Clothing,C015642,Consumer,Debit,2,63.63,0.188,0,103.34,24.44,54.46
TXN00155038,2023-10-26 18:32:54,S020,Minneapolis Superstore,Midwest,P000481,Essential Bedding White 86,Home & Garden,Bedding,C006086,Consumer,Credit,3,38.85,0.0,0,116.55,22.18,50.01
TXN00163614,2024-05-27 08:05:12,S026,Cincinnati Superstore,Midwest,P000993,Essential Action Green 4,Toys & Games,Action Figures,C003067,Corporate,Credit,3,14.57,0.0,0,43.71,7.24,21.99
TXN00168089,2024-05-14 15:23:31,S018,Indianapolis Store Outlet,Midwest,P000959,Ultra Board Blue 69,Toys & Games,Board Games,C019205,Consumer,Debit,2,24.04,0.1876,1,39.06,10.77,17.52
TXN00089086,06/21/2024 2:47 PM,S057,Bridgeport Market,Northeast,P000133,Express Audio Blue 35,Electronics,Audio,C020378,Consumer,Debit,3,66.62,0.0,0,199.86,40.86,77.28
TXN00178221,2024-06-04 12:26:11,S027,Des Moines Market,Midwest,P001125,Express Car White 37,Automotive,Car Accessories,C015797,Consumer,Debit,1,123.19,0.1361,0,106.42,69.73,36.69
TXN00044623,2023-01-28 14:26:21,S031,Houston Retail Center,South,P000892,Smart Vitamins Brown 2,Health & Beauty,Vitamins,C012863,Consumer,Apple Pay,4,58.02,0.0373,0,223.42,30.93,99.7
TXN00181519,04/27/2023 6:53 PM,S022,Milwaukee Depot,Midwest,P000502,Essential Tools White 8,Home & Garden,Tools,C008235,Consumer,Credit,1,282.87,0.0834,1,259.28,150.04,109.24
TXN00110183,2023-11-04 07:54:53,S032,Atlanta Superstore,South,P000111,Ultra Accessories Red 13,Electronics,Accessories,C012065,Consumer,Credit,3,24.23,0.2054,1,57.76,12.54,20.14
TXN00236011,2023-11-21 17:55:34,S040,Jacksonville Depot,South,P001017,Deluxe Action White 28,Toys & Games,Action Figures,C010641,Corporate,Debit,5,55.52,0.2088,1,219.64,28.29,78.19
TXN00105084,2023-05-09 10:05:36,S043,Baltimore Retail Center,South,P000953,Standard Outdoor Green 63,Sports,Outdoor Recreation,C002963,Consumer,Credit,3,72.16,0.074,0,200.46,35.61,93.63
TXN00015231,2024-11-10 13:36:08,S014,Reno Superstore,West,P000322,Smart Footwear Brown 26,Apparel,Footwear,C010356,Consumer,Credit,3,244.97,0.287,1,523.99,88.64,258.07
TXN00001190,2023-07-20 14:06:34,S057,Bridgeport Market,Northeast,P000724,Premium Dairy Brown 32,Grocery,Dairy,C019891,Consumer,Apple Pay,4,1.36,0.1515,1,4.62,0.83,1.3
TXN00155434,2023-01-28 18:43:55,S004,Portland Depot,West,P000707,Elite Dairy Navy 15,Grocery,Dairy,C013570,Home Office,Debit,5,10.56,0.0965,1,47.7,7.53,10.05
TXN00107705,2024-11-22 17:21:51,S006,Denver Outlet,West,P000047,Smart Laptops Green 48,Electronics,Laptops,C022014,Consumer,Debit,2,702.34,0.0,0,1404.68,462.39,479.9
TXN00111048,2024-02-24 16:22:03,S011,Tucson Plaza Store,West,P000418,Active Kitchen Black 23,Home & Garden,Kitchen,C006606,Corporate,Credit,5,193.06,0.276,1,698.88,89.22,252.78
TXN00068068,10/31/2023 9:24 PM,S057,Bridgeport Market,Northeast,P000854,Deluxe Hair Gray 63,Health & Beauty,Hair Care,C009496,Home Office,Cash,4,43.88,,1,120.06,18.63,45.54
TXN00100474,04/23/2023 6:10 PM,S036,Nashville Outlet,South,P000249,Signature Women's Navy 52,Apparel,Women's Clothing,C021399,Home Office,Debit,4,159.97,0.1285,0,557.66,56.89,330.1
TXN00152020,2024-11-23 10:46:43,S033,Miami Market,South,P000777,Ultra Bakery Blue 85,Grocery,Bakery,C005711,Corporate,Debit,1,18.99,0.0,0,18.99,12.08,6.91
TXN00199818,06/15/2024 5:49 PM,S038,Orlando Superstore,South,P000167,Essential Men's Gray 69,Apparel,Men's Clothing,C000828,Consumer,Credit,2,22.85,0.0,0,45.7,8.69,28.32
TXN00068529,2024-01-07 10:16:24,S059,Springfield Plaza Store,Northeast,P000098,Signature Accessories White 99,Electronics,Accessories,C009488,Corporate,Debit,1,60.42,0.0,0,60.42,26.5,33.92
TXN00124988,09/22/2024 10:51 AM,S047,Philadelphia Plaza Store,Northeast,P001017,Deluxe Action White 28,Toys & Games,Action Figures,C008410,Home Office,Credit,2,55.52,0.0,0,111.04,28.29,54.46
TXN00020282,2024-09-01 14:49:54,S034,Dallas Depot,South,P000704,Standard Dairy Red 12,Grocery,Dairy,C007992,Consumer,Credit,2,8.68,0.3853,1,10.67,6.75,-2.83
TXN00160850,03/06/2024 1:34 PM,S047,Philadelphia Plaza Store,Northeast,P000144,Classic Audio Blue 46,Electronics,Audio,C024821,Corporate,Debit,1,263.44,0.0,0,263.44,152.72,110.72
TXN00125906,2023-12-09 14:15:54,S033,Miami Market,South,P000429,Smart Kitchen Silver 34,Home & Garden,Kitchen,C012133,Consumer,Credit,2,194.39,0.0,0,388.78,86.26,216.26
TXN00093085,2023-08-26 10:06:10,S020,Minneapolis Superstore,Midwest,P000488,Advanced Bedding Navy 93,Home & Garden,Bedding,C024979,Corporate,Credit,1,160.21,0.0,0,160.21,74.99,85.22
TXN00012671,2024-11-12 14:30:31,S045,New Orleans Market,South,P000961,Signature Board Navy 71,TOYS & GAMES,Board Games,C021842,Consumer,Credit,2,19.13,0.0,0,38.26,8.53,21.2
TXN00233663,2024-06-12 12:23:00,S019,Detroit Retail Center,Midwest,P000393,Active Furniture Blue 97,Home & Garden,Furniture,C016596,Corporate,Apple Pay,3,911.86,0.0,0,2735.58,505.23,1219.89
TXN00071255,2024-07-12 20:39:56,S019,Detroit Retail Center,Midwest,P000209,Signature Men's Black 12,Apparel,Men's Clothing,C011435,Home Office,Credit,1,129.94,0.0,0,129.94,55.07,74.87
TXN00012955,08/05/2023 10:31 AM,S042,Louisville Outlet,South,P000700,Select Dairy Gray 8,Grocery,Dairy,C015632,Corporate,Cash,3,5.27,0.2816,1,11.36,3.49,0.89
TXN00101823,2023-12-31 12:05:25,S034,Dallas Depot,South,P000709,Deluxe Dairy Beige 17,Grocery,Dairy,C018795,Consumer,Credit,4,1.4,0.0,0,5.6,0.98,1.68
TXN00095829,2023-09-15 19:34:10,S047,Philadelphia Plaza Store,Northeast,P001089,Signature Printers Silver 1,Office Supplies,Printers & Ink,C007083,Consumer,Credit,2,114.87,0.0,0,229.74,70.26,89.22
TXN00135248,2023-03-10 21:47:29,S042,Louisville Outlet,South,P000912,Select Fitness Blue 22,Sports,Fitness Equipment,C014624,Consumer,Debit,3,506.11,0.0,0,1518.33,273.26,698.55
TXN00026910,2024-08-26 16:14:22,S004,Portland Depot,West,P000970,Ultra Board White 80,Toys & Games,Board Games,C008154,Consumer,Credit,3,28.8,0.0661,0,80.69,12.92,41.93
TXN00121177,2024-06-06 12:59:17,S057,Bridgeport Market,Northeast,P000330,Ultra Sportswear Red 34,Apparel,Sportswear,C005699,Consumer,Credit,2,29.88,0.2329,1,45.84,13.18,19.48
TXN00072157,2024-05-03 21:31:36,S021,Kansas City Market,Midwest,P000184,Pro Men's Silver 86,Apparel,Men's Clothing,C009812,Consumer,Credit,2,50.38,0.0,0,100.76,18.36,64.04
TXN00020622,2023-12-01 20:46:28,S055,Rochester Retail Center,Northeast,P000587,Signature Beverages Beige 93,Grocery,Beverages,C007362,Consumer,Credit,4,22.43,0.0,0,89.72,12.39,40.16
TXN00080046,2023-05-04 11:34:01,S047,Philadelphia Plaza Store,Northeast,P000078,Active Tablets Brown 79,Electronics,Tablets,C012119,Consumer,Apple Pay,2,745.21,0.0592,1,1402.19,456.31,489.57
TXN00081276,2024-07-16 16:08:04,S002,San Francisco Superstore,West,P000844,Pro Hair Blue 53,Health & Beauty,Hair Care,C013298,Corporate,Credit,3,37.02,0.0,0,111.06,19.76,51.78
TXN00161594,2024-03-13 21:00:25,S023,Omaha Plaza Store,Midwest,P000752,Signature Bakery Beige 60,Grocery,Bakery,C022800,Corporate,Apple Pay,3,16.5,0.0404,0,47.5,9.77,18.19
TXN00194246,2023-07-04 16:22:16,S051,Hartford Market,Northeast,P000709,Deluxe Dairy Beige 17,Grocery,Dairy,C013398,Consumer,Debit,4,1.4,0.1519,0,4.75,0.98,0.83
TXN00167958,05/27/2023 3:04 PM,S034,Dallas Depot,South,P001134,Essential Car Beige 46,Automotive,Car Accessories,C012768,Consumer,Credit,2,260.29,0.0,0,520.58,149.42,221.74
TXN00057525,2024-10-21 12:38:01,S003,Seattle Market,West,P000117,Deluxe Accessories Blue 19,Electronics,Accessories,C012151,Consumer,Credit,3,44.89,0.0,0,134.67,24.57,60.96
TXN00210119,2024-06-25 15:12:49,S015,Albuquerque Market,West,P000603,Ultra Beverages Green 10,Grocery,Beverages,C019632,Corporate,Gift Card,3,2.88,0.3849,1,5.31,2.07,-0.9
TXN00080722,2024-12-01 10:40:19,S006,Denver Outlet,West,P000761,Pro Bakery Beige 69,Grocery,Bakery,C009973,Corporate,Apple Pay,3,14.93,0.3246,1,30.25,9.7,1.15
TXN00156221,2024-03-23 12:12:01,S045,New Orleans Market,South,P000646,Classic Snacks Silver 53,Grocery,Snacks,C003025,Consumer,Credit,2,5.97,0.1172,0,10.54,3.64,3.26
TXN00230116,2024-01-21 12:33:17,S046,New York Depot,Northeast,P001009,Signature Action Gray 20,Toys & Games,Action Figures,C005838,Consumer,Credit,3,10.05,0.145,0,25.78,5.3,9.88
TXN00114917,2024-01-28 17:25:50,S026,Cincinnati Superstore,Midwest,P000015,Pro Smartphones White 16,Electronics,Smartphones,C010367,Corporate,Debit,1,1047.0,0.0,0,1047.0,599.92,447.08
TXN00035693,2024-04-05 09:51:59,S023,Omaha Plaza Store,Midwest,P000164,Pro Men's Beige 66,Apparel,Men's Clothing,C018859,Consumer,Cash,4,115.13,0.3724,1,289.02,52.98,77.1
TXN00139738,07/29/2023 1:09 PM,S003,Seattle Market,West,P000589,Standard Beverages White 95,Grocery,Beverages,C019575,Consumer,Gift Card,1,5.87,0.0,0,5.87,4.0,1.87
TXN00221841,2024-02-08 15:34:28,S042,Louisville Outlet,South,P000118,Deluxe Accessories Beige 20,Electronics,Accessories,C006945,Corporate,Apple Pay,1,73.47,0.0,0,73.47,36.79,36.68
TXN00069583,2023-08-14 09:15:04,S047,Philadelphia Plaza Store,Northeast,P000472,Express Bedding Brown 77,Home & Garden,Bedding,C012283,Consumer,Credit,4,163.55,0.0,0,654.2,78.99,338.24
TXN00032924,2024-07-31 15:38:21,S045,New Orleans Market,South,P000420,Ultra Kitchen Black 25,Home & Garden,Kitchen,C001117,Consumer,Credit,3,173.79,0.0936,0,472.57,94.12,190.21
TXN00230747,2023-03-30 14:39:23,S038,Orlando Superstore,South,P000262,Elite Women's Navy 65,Apparel,Women's Clothing,C001168,Corporate,Apple Pay,2,142.58,0.0,0,285.16,48.67,187.82
TXN00198762,2023-05-31 08:29:46,S028,Grand Rapids Depot,Midwest,P000992,Express Action Red 3,Toys & Games,Action Figures,C022319,Consumer,Apple Pay,3,17.71,0.006,0,52.81,7.31,30.88
TXN00169666,2024-10-08 11:19:42,S041,Memphis Plaza Store,South,P000219,Essential Women's White 22,Apparel,Women's Clothing,C006004,Consumer,Debit,2,41.99,0.2469,1,63.25,18.42,26.41
TXN00229620,2024-02-24 07:00:12,S052,Buffalo Depot,Northeast,P000072,Advanced Tablets Black 73,Electronics,Tablets,C010064,Corporate,Apple Pay,1,659.5,0.0783,0,607.86,398.61,209.25
TXN00013859,2023-08-03 19:40:05,S015,Albuquerque Market,West,P000378,Standard Furniture Red 82,Home & Garden,Furniture,C017257,Consumer,Cash,1,731.55,0.0,0,731.55,458.41,273.14
TXN00063094,2024-12-08 14:49:15,S060,Yonkers Outlet,Northeast,P000937,Select Outdoor Silver 47,SPORTS,Outdoor Recreation,C008457,Consumer,Credit,4,457.73,0.1146,1,1621.1,281.75,494.1
TXN00176366,2023-01-04 18:07:41,S023,Omaha Plaza Store,Midwest,P001058,Active Stationery Red 69,Office Supplies,Stationery,C006155,Consumer,Debit,2,20.82,0.1451,0,35.6,12.21,11.18
TXN00087569,2023-03-24 19:34:35,S011,Tucson Plaza Store,West,P000046,Active Laptops Red 47,Electronics,Laptops,C003042,Consumer,Debit,3,597.51,0.0,0,1792.53,357.65,719.58
TXN00125539,2024-02-27 16:23:53,S018,Indianapolis Outlet,Midwest,P000396,Express Furniture Beige 1,Home & Garden,Furniture,C006364,Corporate,Debit,4,402.27,0.0,0,1609.08,248.95,613.28
TXN00238784,09/01/2024 11:15 AM,S054,Newark Outlet,Northeast,P000832,Select Hair Beige 41,Health & Beauty,Hair Care,C018487,Corporate,Credit,1,16.64,0.1779,0,13.68,8.96,4.72
TXN00045551,2024-11-05 07:53:36,S019,Detroit Retail Center,Midwest,P001119,Active Car Navy 31,Automotive,Car Accessories,C000061,Consumer,Apple Pay,2,176.06,0.0,0,352.12,99.37,153.38
TXN00197862,2023-11-26 18:44:08,S038,Orlando Superstore,South,P000352,Classic Sportswear Navy 56,APPAREL,Sportswear,C000759,Corporate,Credit,2,27.52,0.0,0,55.04,9.05,36.94
TXN00201860,01/15/2023 8:04 PM,S013,Sacramento Retail Center,West,P000531,Express Tools Silver 37,Home & Garden,Tools,C007137,Consumer,Credit,4,78.22,0.0,0,312.88,35.62,170.4
TXN00226610,2024-03-10 13:24:07,S050,Providence Superstore,Northeast,P001074,Classic Stationery Red 85,Office Supplies,Stationery,C013873,Corporate,Debit,1,26.0,0.0,0,26.0,11.86,14.14
TXN00044713,07/23/2023 7:13 PM,S031,Houston Retail Center,South,P000674,Advanced Snacks Green 81,Grocery,Snacks,C004335,Consumer,Debit,4,6.85,0.1048,0,24.53,4.07,8.25
TXN00077888,2024-09-07 19:43:59,S009,Boise Market,West,P001060,Elite Stationery Beige 71,Office Supplies,Stationery,C011241,Home Office,Credit,1,15.18,0.0,0,15.18,7.41,7.77
TXN00111285,2024-02-15 08:59:27,S057,Bridgeport Market,Northeast,P000510,Active Tools Red 16,Home & Garden,Tools,C010504,Consumer,Apple Pay,2,263.61,0.0,0,527.22,146.43,234.36
TXN00234145,2023-01-05 08:49:49,S038,Orlando Superstore,South,P000007,Active Smartphones Blue 8,Electronics,Smartphones,C017057,Corporate,Credit,2,1156.61,0.165,0,1931.54,686.61,558.32
TXN00207863,2024-02-07 21:56:12,S030,Wichita Outlet,Midwest,P000560,Standard Outdoor Red 66,Home & Garden,Outdoor,C016637,Home Office,Debit,1,554.05,0.0998,0,498.76,312.43,186.33
TXN00007159,2024-11-26 08:42:08,S051,Hartford Market,Northeast,P000359,Advanced Sportswear White 63,Apparel,Sportswear,C017365,Consumer,Debit,4,109.58,0.1986,0,351.27,44.34,173.91
TXN00044541,2024-08-12 15:00:06,S046,New York Depot,Northeast,P000770,Advanced Bakery White 78,Grocery,Bakery,C001116,Consumer,Debit,1,6.92,0.0,0,6.92,4.43,2.49
TXN00093833,07/29/2024 2:02 PM,S010,Spokane Depot,West,P000208,Elite Men's Green 11,Apparel,Men's Clothing,C007165,Home Office,Credit,2,95.73,0.143,0,164.08,44.98,74.12
TXN00099368,2024-11-14 16:56:05,S010,Spokane Depot,West,P001083,Express Printers Black 94,Office Supplies,Printers & Ink,C004218,Corporate,Debit,3,69.76,0.0,0,209.28,43.57,78.57
TXN00015157,2024-06-16 19:10:22,S017,Columbus Plaza Store,Midwest,P000814,Elite Skincare Red 23,Health & Beauty,Skincare,C021534,Consumer,Debit,3,101.82,0.1852,0,248.89,53.82,87.43
TXN00024019,2024-08-06 17:12:16,S011,Tucson Plaza Store,West,P000337,Elite Sportswear Red 41,Apparel,Sportswear,C016144,Consumer,Debit,3,98.59,0.1426,0,253.59,32.17,157.08
TXN00050732,2024-03-28 10:31:44,S037,Austin Retail Center,South,P000483,Standard Bedding White 88,Home & Garden,Bedding,C022026,Corporate,Debit,4,58.83,0.2675,1,172.37,32.13,43.85
TXN00195215,2023-12-23 12:18:44,S053,Albany Plaza Store,Northeast,P000910,Ultra Fitness Red 20,Sports,Fitness Equipment,C013223,Corporate,Cash,1,489.26,0.2761,1,354.18,244.72,109.46
TXN00171593,2023-10-02 09:55:20,S057,Bridgeport Market,Northeast,P000204,Signature Men's Red 7,Apparel,Men's Clothing,C010944,Consumer,Credit,2,111.5,,1,196.53,36.81,122.91
TXN00036255,2024-05-07 11:41:44,S049,Pittsburgh Retail Center,Northeast,P000403,Active Furniture Green 8,Home & Garden,Furniture,C002283,Consumer,Apple Pay,3,774.96,0.0675,1,2167.95,494.44,684.63
TXN00117581,2024-03-28 21:55:47,S053,Albany Plaza Store,Northeast,P001134,Essential Car Beige 46,Automotive,Car Accessories,C021604,Consumer,Credit,3,260.29,,0,780.87,149.42,332.61
TXN00113099,2023-01-18 18:25:20,S031,Houston Retail Center,South,P000860,Select Hair White 69,Health & Beauty,Hair Care,C016263,Consumer,Debit,2,20.74,0.0,0,41.48,11.21,19.06
TXN00045962,2024-04-20 21:55:26,S026,Cincinnati Superstore,Midwest,P000204,Signature Men's Red 7,Apparel,Men's Clothing,C022407,Consumer,Credit,4,111.5,0.0,0,446.0,36.81,298.76
